Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,5.659999847,5.559999943,669629696
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.230000019,2.210000038,818580672
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,0.660000026,0.689999998,164391264
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,2.720000029,2.700000048,3603753216
CIL AT Equity,ACN 066 441 067 Pty Ltd,N/A,--,1.629999995,1.580000043,138667744
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,3.559999943,3.410000086,566550016
ADU AT Equity,Adamus Resources Ltd,N/A,--,0.694999993,0.74000001,331449120
ABC AT Equity,Adbri Ltd,Construction Materials,151020,3.349999905,3.299999952,2095938304
AIS AT Equity,Aeris Resources Ltd,Metals & Mining,151040,--,0.569999993,180315392
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,14.89999962,14.52999973,6657986048
A1M AT Equity,AIC Mines Ltd,Metals & Mining,151040,1.725000024,2.119999886,1103031168
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,1.070000052,0.99000001,1073966336
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,2.5,2.329999924,154054240
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,--,9.170000076,1277351680
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,1.845000029,1.899999976,295422080
ALS AT Equity,Alesco Corp Ltd,N/A,--,3.279999971,3.180000067,299535008
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.414999992,0.409999996,139880640
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.574999988,0.670000017,698278400
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,3.380000114,2.920000076,279896288
ALQ AT Equity,ALS Ltd,Professional Services,202020,39.31999969,42.34000015,2858094080
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,2.380000114,2.380000114,5807667200
1942012D AT Equity,Amcom Telecommunications Pty Ltd,Diversified Telecommunication Services,501010,0.314999998,0.310000002,222240336
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,6.880000114,6.920000076,8480591872
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.349999905,5.309999943,11121392640
1765290D AT Equity,Ampella Mining Ltd,N/A,--,2.650000095,2.599999905,527735264
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,8.899999619,9.600000381,18432489472
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,13.14999962,13.68000031,1820517888
APA AT Equity,APA Group,Gas Utilities,551020,3.980000019,4.039999962,2228823808
HDF AT Equity,APA Sub Group,N/A,--,1.649999976,1.565000057,814499584
AXMR AT Equity,Apex Minerals NL,N/A,--,--,0.003,--
AXM AT Equity,Apex Minerals NL,N/A,--,0.019124182,0.014,77703408
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,5.559999943,6.489999771,3006436096
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,9.170000076,8.699999809,3256610816
ARU AT Equity,Arafura Rare Earths Ltd,Metals & Mining,151040,1.294999957,1.230000019,452554272
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,7.480000019,7.659999847,555206784
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.080000043,1.450000048,453612640
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,2.970000029,3.170000076,1692728960
ASZ AT Equity,ASG Group Ltd,IT Services,451020,1.159999967,1.019999981,171612656
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,0.474999994,0.460000008,272630368
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.369999886,3.230000019,164152480
ATR AT Equity,Astron Corp Ltd,Metals & Mining,151040,2.430000067,2.599999905,168669024
ASX AT Equity,ASX Ltd,Capital Markets,402030,37.36000061,36.41999817,6378478592
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,1.5,1.649999976,746371584
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,3.190000057,3.849999905,2939643136
AUB AT Equity,AUB Group Ltd,Insurance,403010,5.210000038,5.869999886,318972288
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.725000024,1.674999952,2207648256
1679100D AT Equity,Aurora Oil & Gas Pty Ltd,N/A,--,3.049999952,3.279999971,1323274240
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,3.25,3.230000019,395712800
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,0.879999995,0.870000005,2431750400
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,3.089999914,2.970000029,558566720
